"gren1" "gren2" "gren3" "enet1" "enet2" "enet3"
"combn647" 10 12 7 0 0 0
"combn648" 11 12 8 0 0 0
"combn649" 13 10 7 4 6 3
"combn650" 8 12 9 2 2 1
"combn651" 8 8 12 0 7 6
"combn652" 12 11 6 3 3 1
"combn653" 15 11 7 6 4 2
"combn654" 11 5 4 1 1 3
"combn655" 16 11 3 4 2 3
"combn656" 12 14 6 6 5 4
"combn657" 15 12 9 8 6 5
"combn658" 8 8 9 3 3 5
"combn659" 12 13 8 3 5 4
"combn660" 7 12 10 1 1 0
"combn661" 7 9 8 1 3 1
"combn662" 9 9 8 4 5 3
"combn663" 8 7 7 5 4 5
"combn664" 9 13 11 4 3 5
"combn665" 8 9 6 2 3 4
"combn666" 7 8 10 1 4 3
"combn667" 12 10 9 7 4 3
"combn668" 9 8 5 0 0 0
"combn669" 8 5 7 4 4 3
"combn670" 6 10 7 2 4 4
"combn671" 8 10 9 1 3 3
"combn672" 8 10 10 3 3 3
"combn673" 10 12 10 3 4 4
"combn674" 8 10 10 1 0 1
"combn675" 12 9 8 2 2 1
"combn676" 11 11 9 2 1 1
"combn677" 5 10 11 2 3 3
"combn678" 11 8 8 4 4 5
"combn679" 12 11 10 4 2 2
"combn680" 8 9 9 5 4 3
"combn681" 12 14 14 2 3 1
"combn682" 12 11 7 1 4 2
"combn683" 10 10 9 2 3 0
"combn684" 12 14 12 5 5 6
"combn685" 13 11 10 4 4 6
"combn686" 9 11 9 0 4 3
"combn687" 11 13 10 1 4 2
"combn688" 11 12 12 1 3 4
"combn689" 9 8 5 3 3 0
"combn690" 9 10 8 0 1 1
"combn691" 10 9 8 2 1 1
"combn692" 11 11 7 1 5 4
"combn693" 10 11 9 2 4 4
"combn694" 6 8 5 1 3 1
"combn695" 10 12 9 1 2 1
"combn696" 8 9 9 3 5 6
"combn697" 10 12 10 2 3 3
"combn698" 12 12 10 3 4 2
"combn699" 14 10 9 1 3 3
"combn700" 9 10 5 0 4 4
"combn701" 11 15 14 5 6 4
"combn702" 9 12 8 3 4 3
"combn703" 11 10 9 5 3 3
"combn704" 7 9 8 3 6 3
"combn705" 10 13 7 2 3 4
"combn706" 10 11 5 2 2 0
"combn707" 14 15 10 3 5 4
"combn708" 8 11 8 0 3 1
"combn709" 13 13 10 6 6 4
"combn710" 7 9 10 4 4 2
"combn711" 9 11 10 0 3 2
"combn712" 12 10 8 1 6 4
"combn713" 11 12 5 3 2 0
"combn714" 8 12 10 3 4 5
"combn715" 11 12 9 4 6 4
"combn716" 6 13 6 5 6 3
"combn717" 13 18 8 6 7 7
"combn718" 11 16 12 4 5 3
"combn719" 9 11 6 5 5 4
"combn720" 14 16 8 5 4 2
"combn721" 11 13 11 4 4 5
"combn722" 7 10 7 1 2 1
"combn723" 11 14 12 5 7 7
