"miRNA"	"precursor"	"geomeanM"	"geomeanMN"	"geomeanP"	"geomeanPN"	"medianM"	"medianMN"	"medianP"	"medianPN"	"maxM"	"maxMN"	"maxP"	"maxPN"	"BFDR_MNminPN"	"BFDR_MNminM"	"BFDR_MminP"	"BFDR_PNminP"	"BFDR_MNminPNcorr"	"logfc_MNminPN"	"logfc_MNminM"	"logfc_MminP"	"logfc_PNminP"	"logfc_MNminPNcorr"
"hsa-miR-412-5p"	"hsa-mir-412"	2.07	1.94	3.11	2.23	3	0	4	3	13	3	25	9	0.00456807382029923	0.0029231876525213	0.758286850587083	0.111164339801175	0.727637253173577	-1.09963507843471	-1.21039447581025	-0.017141855338481	-0.332516081536227	0.48399300332811
"hsa-miR-423-5p"	"hsa-mir-423"	1349	1209	1489	1389	1326	1566	1440	1269	4524	4761	3937	3983	0.503776237518691	0.44103695050541	0.755482144323215	0.48476213110514	0.579172039274397	0.00607627750353717	0.0162551170711547	7.65872151877413e-06	0.00479227410656302	0.00312741467801329
"hsa-miR-424-5p"	"hsa-mir-424"	384	523	239	144	354	911	362	174	9886	3511	3178	449	1.43579000417704e-07	0.352254050723622	0.74749208726579	3.10942505989323e-05	0.681181328444427	1.77305543412476	0.0639220254610009	0.00449151782689425	-1.10993972746149	-1.35190639907857
"hsa-miR-425-5p"	"hsa-mir-425"	2499	1409	2419	2169	2478	752	2587	2172	9466	1398	5625	3918	5.23730400532684e-11	2.09820355326703e-09	0.741865221405945	0.240404803186315	0.752894165289824	-1.01224749370303	-1.27012155406726	-0.0101301745469872	-0.081945752318053	1.07964170617451
"hsa-miR-431-5p"	"hsa-mir-431"	25.4	20.2	30.9	10.5	31	16	34.5	11	94	53	87	30	0.319394749255291	0.0212757716383383	0.342590059337961	1.10447471140722e-08	0.259773317883664	0.0820733252220726	-0.52969631922028	-0.136599075285328	-1.11938731480577	-0.184661201016421
"hsa-miR-432-5p"	"hsa-mir-432"	31.3	42.1	36.6	43.2	33	36	42.5	45	171	103	214	101	0.492823770889458	0.352581885769455	0.610089860114093	0.47797638147259	0.64863675274991	-0.0116766667477051	0.0514086244071513	-0.0626197264067699	-0.00681832303762261	-0.0142870693462376
"hsa-miR-433-5p"	"hsa-mir-433"	0.46	0.53	0.28	0.38	0	0	0.5	0	3	4	3	2	0.329968979705383	0.368592393267602	0.565465275984763	0.301528526442589	0.359335498957591	0.124331377714435	0.0762240587107277	-0.0623092634473561	-0.130942235434549	-0.181561503668183
"hsa-miR-4423-5p"	"hsa-mir-4423"	0.19	0.29	0.15	0.0600000000000001	0	0	0	0	5	11	4	1	0.0150591455199833	0.0169149373147595	0.660860170668789	0.338381531725785	0.164510778621316	1.71304830209548	1.46857401352783	-0.0267631625741829	-0.16076919837048	-0.732549267820533
"hsa-miR-4433b-5p"	"hsa-mir-4433b"	0.11	0.27	0.21	0.18	0	0	0	0	3	2	3	3	0.44895766621748	0.129996949688052	0.407548718182405	0.376442750172234	0.369169287970105	0.00205800462832803	0.514657873948758	-0.151006310498867	-0.0523623388044353	-0.190174534969236
"hsa-miR-4446-5p"	"hsa-mir-4446"	0.0600000000000001	0.0800000000000001	0.0800000000000001	0.13	0	0	0	0	1	1	2	1	0.228241300407107	0.296266921677642	0.632078677592616	0.4311285333486	0.571695335861384	-0.294239664650552	-0.145946635816203	-0.0449713906225752	0.002494603506319	0.128992096944763
